Specimen ID,Data Source,Order,Family,Genus,Species,Voucher specimen,Specimen barcode,Collection date,Country of origin,Material sampled,No. of genes recovered,No. of bp recovered,Fasta file url
24463,GAP,Proteales,Proteaceae,Catalepidia,Catalepidia heyana,Peter H. Weston 2472 (NSW),NSW445879,,,,345,188262,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7599531.Catalepidia_heyana.a353.fasta
24465,GAP,Berberidopsidales,Berberidopsidaceae,Streptothamnus,Streptothamnus moorei,Peter H. Weston 2532 (NSW),NSW477090,,,,348,221781,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7599452.Streptothamnus_moorei.a353.fasta
24467,GAP,Proteales,Proteaceae,Triunia,Triunia youngiana,Peter H. Weston 2747 (NSW),NSW618682,,,,349,196776,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7599551.Triunia_youngiana.a353.fasta
24469,GAP,Proteales,Proteaceae,Darlingia,Darlingia darlingiana,Peter H. Weston 2936 (NSW),NSW893340,,,,348,185451,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7599533.Darlingia_darlingiana.a353.fasta
24471,GAP,Proteales,Proteaceae,Lasjia,Lasjia claudiensis,Peter H. Weston 3002 (NSW),NSW773358 ,,,,343,186840,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7599539.Lasjia_claudiensis.a353.fasta
24473,GAP,Proteales,Proteaceae,Bleasdalea,Bleasdalea bleasdalei,Peter H. Weston 3004 (NSW),NSW756919,,,,348,197157,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7599527.Bleasdalea_bleasdalei.a353.fasta
24475,GAP,Proteales,Proteaceae,Cardwellia,Cardwellia sublimis,Peter H. Weston 3005 (NSW),NSW765088,,,,347,189717,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7599529.Cardwellia_sublimis.a353.fasta
24477,GAP,Proteales,Proteaceae,Sphalmium,Sphalmium racemosum,Peter H. Weston 3008 (NSW),NSW745442 ,,,,345,170406,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7599547.Sphalmium_racemosum.a353.fasta
24479,GAP,Proteales,Proteaceae,Musgravea,Musgravea stenostachya,Peter H. Weston 3009 (NSW),NSW745443 ,,,,350,198984,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7599541.Musgravea_stenostachya.a353.fasta
24481,GAP,Proteales,Proteaceae,Nothorites,Nothorites megacarpus,Peter H. Weston 3011 (NSW),NSW745445 ,,,,349,191724,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7599543.Nothorites_megacarpus.a353.fasta
24483,GAP,Proteales,Proteaceae,Neorites,Neorites kevedianus,Peter H. Weston 3014 (NSW),NSW773416 ,,,,348,194004,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7599542.Neorites_kevedianus.a353.fasta
24485,GAP,Proteales,Proteaceae,Austromuellera,Austromuellera trinervia,Peter H. Weston 3015 (NSW),NSW773419,,,,348,194427,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7599525.Austromuellera_trinervia.a353.fasta
24487,GAP,Proteales,Proteaceae,Orites,Orites excelsus,Peter H. Weston 3132 (NSW),NSW762441,,,,349,193911,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7599545.Orites_excelsus.a353.fasta
